dataset,model,fraction,lr,mean_iou,std_iou,mean_dice,std_dice,mean_pixel_acc,std_pixel_acc,mean_latency_ms,mean_param_memory_mb,num_params
KvasirSEG,deeplabv3plus_resnet34,0.25,0.0003,0.8470237372981178,0.007869034399332536,0.9128958225250244,0.0054499607931114535,0.9535086743036906,0.00282077971174477,7.505087959992427,101.90000000000002,26711458.0
KvasirSEG,deeplabv3plus_resnet34,0.5,0.0003,0.8625878356562721,0.008257520685490558,0.9226545164320203,0.005499490995079444,0.959427932103475,0.0024193143744114633,7.641810300046927,101.90000000000002,26711458.0
KvasirSEG,deeplabv3plus_resnet34,1.0,0.0003,0.8768873989582061,0.003408468855839607,0.9316328254010943,0.001943572957101259,0.9638150705231561,0.0012513292886751127,7.577374959995116,101.90000000000002,26711458.0
KvasirSEG,segnet_vgg16,0.25,0.0003,0.8489987292554644,0.010632299880157613,0.9137438041634031,0.006621309137411121,0.9544549234708151,0.0028811421757907268,19.827276953316566,112.44,29476418.0
KvasirSEG,segnet_vgg16,0.5,0.0003,0.8724805042478773,0.006515147812770898,0.9289746810330285,0.004012138182934406,0.9626281404495239,0.0014905835897556779,19.91974209335846,112.44,29476418.0
KvasirSEG,segnet_vgg16,1.0,0.0003,0.8742285226451026,0.006972826219630601,0.9298618184195625,0.004202371505648419,0.9626656428972881,0.0022851766343816604,19.816111513331027,112.44,29476418.0
KvasirSEG,unet_resnet34,0.25,0.0003,0.8524491086271073,0.008734021371688836,0.9159758375750648,0.005837700434734773,0.9554353857040404,0.003112819317475593,8.45684088000174,93.28000000000002,24451618.0
KvasirSEG,unet_resnet34,0.5,0.0003,0.8752680962615543,0.0018714895285156874,0.930542210870319,0.0012190278291742279,0.963414409160614,0.0010354067063466116,8.352501593326451,93.28000000000002,24451618.0
KvasirSEG,unet_resnet34,1.0,0.0003,0.8830169234010908,0.004052809999711744,0.9353919751114316,0.0022067408141031907,0.9658617154757182,0.001715969800393853,8.307449866648918,93.28000000000002,24451618.0
OxfordPet,deeplabv3plus_resnet34,0.25,0.0003,0.7764696562282251,0.000636892316983497,0.8636352551369354,0.0005337244493447352,0.9199557307523115,0.00023230912711946132,7.605333153333049,101.90000000000002,26711715.0
OxfordPet,deeplabv3plus_resnet34,0.5,0.0003,0.786533608382361,0.0014365013169646084,0.8705616210870234,0.0011372828369776078,0.9251477877558919,0.00027470773281167485,7.611356386672317,101.90000000000002,26711715.0
OxfordPet,deeplabv3plus_resnet34,1.0,0.0003,0.7987403436831424,0.0009868645522197828,0.8792463496175325,0.000717524579131843,0.930097291463509,0.00033704953705463277,7.5884328599931905,101.90000000000002,26711715.0
OxfordPet,segnet_vgg16,0.25,0.0003,0.7758328218000302,0.0005368182101642962,0.8635169886913839,0.00045263992484659624,0.9194279127889059,0.00015368777584654053,19.793248533302783,112.44,29476483.0
OxfordPet,segnet_vgg16,0.5,0.0003,0.7825633347420736,0.0012421115420598139,0.8679906458555183,0.0009187683331618315,0.9231690276900505,0.0004448057743703272,19.804556879995896,112.44,29476483.0
OxfordPet,segnet_vgg16,1.0,0.0003,0.79323634798954,0.0006017284885185704,0.8754017273057925,0.00035751308488636167,0.928031274703128,0.0004840377309939612,19.818395473327353,112.44,29476483.0
OxfordPet,unet_resnet34,0.25,0.0003,0.7872725248730293,0.0009521685803744244,0.8713896943681632,0.0006373283798021523,0.924896938930559,0.0008434358572244371,8.352544579996296,93.28000000000002,24451651.0
OxfordPet,unet_resnet34,0.5,0.0003,0.7956473718499328,0.0008695679809296455,0.8770821330902644,0.0006647677022233235,0.9290303185025753,0.0002504521433398287,8.420050979996935,93.28000000000002,24451651.0
OxfordPet,unet_resnet34,1.0,0.0003,0.804882773893894,0.001980180698207449,0.8834404033460918,0.0014787061092936201,0.9330137981817855,0.0004052687868215889,8.44976637333275,93.28000000000002,24451651.0
