dataset,model,fraction,lr,mean_iou,std_iou,mean_dice,std_dice,mean_pixel_acc,std_pixel_acc,mean_latency_ms,std_latency_ms,mean_param_memory_mb,num_params
KvasirSEG,deeplabv3plus_resnet34,0.25,0.0003,0.8470237372981178,0.007869034399332536,0.9128958225250244,0.0054499607931114535,0.9535086743036906,0.00282077971174477,7.505087959992427,0.090521904933036,101.90000000000002,26711458.0
KvasirSEG,deeplabv3plus_resnet34,0.5,0.0003,0.8625878356562721,0.008257520685490558,0.9226545164320203,0.005499490995079444,0.959427932103475,0.0024193143744114633,7.641810300046927,0.08181660366061959,101.90000000000002,26711458.0
KvasirSEG,deeplabv3plus_resnet34,1.0,0.0003,0.8768873989582061,0.003408468855839607,0.9316328254010943,0.001943572957101259,0.9638150705231561,0.0012513292886751127,7.577374959995116,0.009147701228828584,101.90000000000002,26711458.0
KvasirSEG,segnet_vgg16,0.25,0.0003,0.8489987292554644,0.010632299880157613,0.9137438041634031,0.006621309137411121,0.9544549234708151,0.0028811421757907268,19.827276953316566,0.3915756389589395,112.44,29476418.0
KvasirSEG,segnet_vgg16,0.5,0.0003,0.8724805042478773,0.006515147812770898,0.9289746810330285,0.004012138182934406,0.9626281404495239,0.0014905835897556779,19.91974209335846,0.09672462460102463,112.44,29476418.0
KvasirSEG,segnet_vgg16,1.0,0.0003,0.8742285226451026,0.006972826219630601,0.9298618184195625,0.004202371505648419,0.9626656428972881,0.0022851766343816604,19.816111513331027,0.0456612762225033,112.44,29476418.0
KvasirSEG,unet_resnet34,0.25,0.0003,0.8524491086271073,0.008734021371688836,0.9159758375750648,0.005837700434734773,0.9554353857040404,0.003112819317475593,8.45684088000174,0.09447729833491954,93.28000000000002,24451618.0
KvasirSEG,unet_resnet34,0.5,0.0003,0.8752680962615543,0.0018714895285156874,0.930542210870319,0.0012190278291742279,0.963414409160614,0.0010354067063466116,8.352501593326451,0.10354721073257583,93.28000000000002,24451618.0
KvasirSEG,unet_resnet34,1.0,0.0003,0.8830169234010908,0.004052809999711744,0.9353919751114316,0.0022067408141031907,0.9658617154757182,0.001715969800393853,8.307449866648918,0.1017119674274061,93.28000000000002,24451618.0
