dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
KvasirSEG,unet_resnet34,3407,1.0,0.0003,1,0.5163557183468479,0.3961286727587382,0.6387849040490029,0.7299105588595073,0.7394268469371158,0.8311666715145111,0.883792066026008,0.9025121061007182,0.00029882903314519993
KvasirSEG,unet_resnet34,3407,1.0,0.0003,2,0.3668459974143697,0.2719029887517293,0.7275258946692806,0.7956953326861064,0.8257028047723332,0.8787441873550415,0.9151546215188915,0.9323601293563842,0.0002953345994276017
KvasirSEG,unet_resnet34,3407,1.0,0.0003,3,0.31494409137073603,0.2334247597058614,0.7589439057755745,0.8355812724431356,0.8501126971738092,0.904443560441335,0.9274364120658787,0.950193685690562,0.00028957180815440534
KvasirSEG,unet_resnet34,3407,1.0,0.0003,4,0.27684156476766214,0.2163705547650655,0.7808529301278893,0.8400860810279847,0.8662505170394634,0.907046461502711,0.9335910753272045,0.9520091764132181,0.00028163154198651373
KvasirSEG,unet_resnet34,3407,1.0,0.0003,5,0.2649149798798835,0.26197041988372805,0.7860686141869118,0.8076211857795715,0.8700555292354233,0.8877455993493398,0.9365027416711567,0.9351368220647176,0.0002716390236646797
KvasirSEG,unet_resnet34,3407,1.0,0.0003,6,0.24726369154864344,0.18997927248477936,0.7948124151805351,0.848123695453008,0.8754175562283089,0.9133932264645894,0.940164697581324,0.9532063810030619,0.0002597518411720796
KvasirSEG,unet_resnet34,3407,1.0,0.0003,7,0.22976720932571368,0.18316439390182496,0.8146468868543362,0.8522274843851725,0.8896811378413233,0.9154545029004415,0.9460495258199757,0.9553941853841146,0.0002461574624776804
KvasirSEG,unet_resnet34,3407,1.0,0.0003,8,0.22258256427172957,0.18792593359947204,0.8124176291213638,0.8538403864701589,0.8879464912688595,0.9163361060619354,0.9458599090576172,0.9555295817057292,0.00023107027905438094
KvasirSEG,unet_resnet34,3407,1.0,0.0003,9,0.20955157759545864,0.18591379543145498,0.825718616617137,0.8592234778404236,0.8976189148152012,0.9193334643046062,0.9497948789048469,0.9553199275334676,0.00021472822479741324
KvasirSEG,unet_resnet34,3407,1.0,0.0003,10,0.19952887904712524,0.16961474140485128,0.8334375224236784,0.8622454885641734,0.9023287858086071,0.9223213446140289,0.9525250621225642,0.9574577856063843,0.00019738902366467964
KvasirSEG,unet_resnet34,3407,1.0,0.0003,11,0.20317306446618047,0.15493493765592575,0.8278358527298632,0.8730274808406829,0.8988186254583556,0.9286412064234416,0.950503535654353,0.9602477025985717,0.00017932612521598008
KvasirSEG,unet_resnet34,3407,1.0,0.0003,12,0.18725239870877103,0.1554233189423879,0.8450519187354494,0.8759392845630646,0.9100512338095698,0.9304787600040436,0.9562380341277725,0.9615496842066447,0.000160824392150103
KvasirSEG,unet_resnet34,3407,1.0,0.0003,13,0.1785742912826867,0.15622127890586854,0.8478292642996229,0.8683367113272349,0.9115803313666376,0.9249775950113932,0.9566317371938421,0.9594560758272807,0.00014217560784989694
KvasirSEG,unet_resnet34,3407,1.0,0.0003,14,0.1700013810875772,0.168799220820268,0.8556085924307505,0.8696887524922688,0.9173810314172985,0.9267632373174032,0.9593161001972769,0.9581451416015625,0.0001236738747840199
KvasirSEG,unet_resnet34,3407,1.0,0.0003,15,0.16017687817414603,0.1584108101328214,0.866521523259152,0.876271501382192,0.9239540713271875,0.930565068324407,0.9621810693850462,0.9616543594996134,0.00010561097633532034
