dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
KvasirSEG,unet_resnet34,42,0.5,0.0003,1,0.5723887716614923,0.47000749588012697,0.6379490148189456,0.7247106369336446,0.7481369444623936,0.8292186665534973,0.8751876742340797,0.8990284236272176,0.00029882903314519993
KvasirSEG,unet_resnet34,42,0.5,0.0003,2,0.43068669840346935,0.37079288085301715,0.7124997214522473,0.8014032598336538,0.8154547055100285,0.8822105566660563,0.9081977134527162,0.9383648697535197,0.0002953345994276017
KvasirSEG,unet_resnet34,42,0.5,0.0003,3,0.36124993618144546,0.3111321985721588,0.7469943994006445,0.7957171014944713,0.8430457101311795,0.8775177645683289,0.9215979465218478,0.9380071020126343,0.00028957180815440534
KvasirSEG,unet_resnet34,42,0.5,0.0003,4,0.32570661223211955,0.3140749740600586,0.7610083423381628,0.7794746538003285,0.8526383818582047,0.8679263480504353,0.9269649150759675,0.924460145632426,0.00028163154198651373
KvasirSEG,unet_resnet34,42,0.5,0.0003,5,0.2953396900448688,0.242690216700236,0.7862297663854998,0.8288768668969472,0.8705989926360375,0.9003946518898011,0.9343224902485692,0.948199462890625,0.0002716390236646797
KvasirSEG,unet_resnet34,42,0.5,0.0003,6,0.27553872105687166,0.24610684235890706,0.789604399786439,0.8211473842461904,0.8731938364893891,0.8949235959847768,0.9362492228663245,0.943128358523051,0.0002597518411720796
KvasirSEG,unet_resnet34,42,0.5,0.0003,7,0.2728694143683411,0.26810561180114745,0.7913108762613562,0.8065545535087586,0.8732797392579013,0.886374915043513,0.9361187690912292,0.9361459350585938,0.0002461574624776804
KvasirSEG,unet_resnet34,42,0.5,0.0003,8,0.2492103798444881,0.22062944869200388,0.8078851221605788,0.8292902970314026,0.8851145270258881,0.9007558278242747,0.942657470703125,0.9471048998832703,0.00023107027905438094
KvasirSEG,unet_resnet34,42,0.5,0.0003,9,0.2370112521010776,0.2404718287785848,0.8126453791939935,0.8138420617580414,0.8888045528600382,0.8896529058615367,0.9435979710068814,0.9385503149032592,0.00021472822479741324
KvasirSEG,unet_resnet34,42,0.5,0.0003,10,0.23662274400162142,0.21978734532992045,0.8095123102498609,0.8355638639132181,0.8857250130453775,0.9048918803532918,0.9446255439935729,0.9476207478841145,0.00019738902366467964
