dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,1,0.7498190913881574,0.651258061726888,0.5607562696649915,0.6464755761623383,0.6781044730118343,0.7556877994537353,0.8274510701497396,0.8917074592908224,0.00029882903314519993
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,2,0.5279924287682488,0.668022088209788,0.6358341170208794,0.6818993087609609,0.7484652208430427,0.7968065571784974,0.881292252313523,0.8754741422335307,0.0002953345994276017
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,3,0.46358862945011686,0.5123562256495158,0.678297587803432,0.7222154180208842,0.785736511860575,0.827143098115921,0.8995810009184337,0.8992997241020203,0.00028957180815440534
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,4,0.40427292812438237,0.3429530668258667,0.7058468567473548,0.7500971186161042,0.8100002422219231,0.8453222068150839,0.9095643361409506,0.9193292236328126,0.00028163154198651373
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,5,0.36765858105250765,0.3295924292008082,0.71483047803243,0.7657008067766825,0.8167548903397152,0.8574228541056315,0.9143753051757812,0.9215348323186239,0.0002716390236646797
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,6,0.3707312175205776,0.30907182494799296,0.7094021652426038,0.7663646376132965,0.8100827818825131,0.8561821138858795,0.913239524478004,0.9275907397270202,0.0002597518411720796
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,7,0.33468484239918844,0.30725155691305794,0.7376791281359536,0.7590368247032165,0.8335042908078149,0.8505908981959025,0.9227113269624256,0.929559531211853,0.0002461574624776804
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,8,0.308050023657935,0.303432758251826,0.7525426497062048,0.7706748366355896,0.8467567775930677,0.8605188802878062,0.9268722534179688,0.9239631160100301,0.00023107027905438094
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,9,0.3034163514773051,0.2736749911308289,0.7534586127315249,0.7830383845170339,0.8463172302359626,0.8706273579597473,0.9298965817406064,0.9262594612439473,0.00021472822479741324
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,10,0.27507483178660985,0.2700471635659536,0.7770583551554453,0.7917088758945465,0.8632331036386036,0.8754325195153554,0.9354397909981864,0.933389180501302,0.00019738902366467964
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,11,0.2562591979900996,0.28098178227742515,0.7867278556029002,0.7889022397994995,0.8708351595061166,0.8711832908789316,0.9398419516427177,0.9376907348632812,0.00017932612521598008
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,12,0.2501820609683082,0.24209883610407512,0.7991870648804165,0.8190827445189158,0.8791759695325579,0.8945513594150544,0.9426549275716146,0.9440615860621134,0.000160824392150103
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,13,0.24441519237699963,0.2524842611948649,0.7953729743049258,0.8015662427743276,0.8752711628164563,0.8806705657641093,0.941967282976423,0.9427909342447917,0.00014217560784989694
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,14,0.2327422755105155,0.22142873088518777,0.808355586159797,0.834313895702362,0.8858713890825,0.9044093223412831,0.946341560000465,0.9498363248507182,0.0001236738747840199
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,15,0.22199312420118422,0.22520981828371683,0.8189357845556169,0.8263215196132659,0.8940660513582683,0.8986581476529439,0.9484137580508277,0.9483627319335938,0.00010561097633532034
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,16,0.21706947258540563,0.22348609924316407,0.830087810754776,0.8247440266609192,0.9003930900778089,0.8968391899267832,0.9523483458019438,0.9488426717122396,8.82717752025867e-05
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,17,0.19763674622490293,0.21462900042533875,0.8447760570616949,0.8395990296204885,0.9106030733812422,0.9078383159637451,0.9567760285877046,0.9504651904106141,7.192972094561895e-05
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,18,0.20815877651884443,0.20760809699694316,0.8273051225003742,0.838236342271169,0.8994000000613076,0.9063487474123637,0.9522551581973121,0.9510031143824259,5.684253752231956e-05
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,19,0.19887062658866247,0.207660993039608,0.8353172867071061,0.8373420107364654,0.9038573872475397,0.905276673634847,0.9544071015857515,0.9513498950004577,4.324815882792041e-05
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,20,0.191655742980185,0.20807125280300776,0.8434517341000694,0.8364601413408915,0.9092704426674616,0.9047084053357443,0.9585736592610677,0.9506697607040405,3.1360976335320314e-05
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,21,0.1800826277051653,0.20256032427152,0.8472114446617308,0.8414598087469737,0.9122468999453953,0.9078364340464274,0.9594711122058687,0.9526213590304057,2.1368458013486254e-05
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,22,0.17204486578702927,0.20590823084115983,0.8639010602519626,0.838953378200531,0.9230938780875433,0.906222814321518,0.9628471192859468,0.9515650431315105,1.3428191845594673e-05
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,23,0.1711833161257562,0.2019044491648674,0.862200908717655,0.8422329715887705,0.922364102942603,0.9086171615123749,0.9627760932559059,0.9520124316215515,7.6654005723983e-06
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,24,0.1701897843962624,0.20189885854721068,0.8579284875165849,0.8420858327547709,0.9192321414039248,0.9083801154295603,0.9615200587681362,0.9524905411402385,4.170966854800051e-06
KvasirSEG,segnet_vgg16,2025,0.25,0.0003,25,0.162560872733593,0.2013336405158043,0.868315977709634,0.84294983903567,0.9259511927763621,0.909059815009435,0.964684804280599,0.9525657161076864,2.9999999999999997e-06
