dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
KvasirSEG,unet_resnet34,3407,0.25,0.0003,1,0.6730567983218602,0.7860206206639607,0.5004478955109205,0.4757430437207222,0.590175919766937,0.5483843455215295,0.8345752897716704,0.8535639452934265,0.00029882903314519993
KvasirSEG,unet_resnet34,3407,0.25,0.0003,2,0.5579024539107368,0.5711325697104136,0.6181802201483931,0.6256270484129588,0.7313936672040394,0.7528268106778463,0.8689576103573754,0.8271939094861348,0.0002953345994276017
KvasirSEG,unet_resnet34,3407,0.25,0.0003,3,0.4451443992909931,0.49101257681846616,0.7031036154145286,0.679196959733963,0.8085683477776391,0.7948583269119263,0.9022795359293619,0.8680825805664063,0.00028957180815440534
KvasirSEG,unet_resnet34,3407,0.25,0.0003,4,0.41512049663634526,0.37973071575164796,0.7218715314354215,0.745785193045934,0.8218018142949968,0.8423417977492015,0.9129094623384022,0.9104102595647177,0.00028163154198651373
KvasirSEG,unet_resnet34,3407,0.25,0.0003,5,0.3633295212473188,0.34528691132863365,0.7565197476318904,0.7824949347972869,0.8478046641463325,0.8683274837334951,0.9250950586228144,0.9327661140759786,0.0002716390236646797
KvasirSEG,unet_resnet34,3407,0.25,0.0003,6,0.3417325403009142,0.30146221101284026,0.7610413801102411,0.7961917475859324,0.8524796615044276,0.879339975118637,0.9286090305873326,0.9333184830347697,0.0002597518411720796
KvasirSEG,unet_resnet34,3407,0.25,0.0003,7,0.3393456779775165,0.3614944378534953,0.7584355310315177,0.7632868921756745,0.8477303492171424,0.8574716285864512,0.927603767031715,0.9157596850395202,0.0002461574624776804
KvasirSEG,unet_resnet34,3407,0.25,0.0003,8,0.30232774927502587,0.36987368285655975,0.7937960156372615,0.7242255349953969,0.875815517845608,0.8205369595686595,0.9385081699916294,0.9203970352808635,0.00023107027905438094
KvasirSEG,unet_resnet34,3407,0.25,0.0003,9,0.2958562615371886,0.25641402661800383,0.7878824749163219,0.8228822267055511,0.8721842751616523,0.8966566518942515,0.9368462335495722,0.9456639607747396,0.00021472822479741324
KvasirSEG,unet_resnet34,3407,0.25,0.0003,10,0.25478493244875045,0.26259715398152667,0.8195485543637049,0.8171117436885834,0.8935153583685557,0.8924771467844645,0.9483637128557477,0.9450769058863322,0.00019738902366467964
KvasirSEG,unet_resnet34,3407,0.25,0.0003,11,0.2869830670810881,0.2701478052139282,0.7811314137209029,0.7938247299194336,0.8652884789875576,0.8760444255669911,0.9347916557675316,0.9402449544270833,0.00017932612521598008
