dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,1,0.7642079014331102,0.5079201939313308,0.5260625777145227,0.6426448914163931,0.647605127065132,0.7520847692005879,0.7844882011413574,0.8647868114969005,0.00029882903314519993
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,2,0.5950366612523794,0.45856852030408557,0.6161986123770478,0.6880638780801194,0.7392180091391007,0.7956329938294231,0.837326455116272,0.8795026696246603,0.0002953345994276017
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,3,0.5399186342954636,0.42707507031551306,0.6455940759430329,0.7093350006186445,0.763904664789637,0.8145738552158004,0.8554446935653687,0.8850125022556471,0.00028957180815440534
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,4,0.5000889405608178,0.4393813420033109,0.6660687620441121,0.706382289600833,0.7792004115879537,0.812421076827579,0.8679032564163208,0.8825492582459381,0.00028163154198651373
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,5,0.4837591663002968,0.4125368767890377,0.6721734217057622,0.713169993697733,0.7844376536707081,0.8158308310785155,0.8710562229156494,0.8922901429991791,0.0002716390236646797
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,6,0.46997278854250907,0.42345449242039,0.6771843432138361,0.7111103202121847,0.7885467324405908,0.8156119570639975,0.8736216068267822,0.8864069399626359,0.0002597518411720796
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,7,0.44864155128598215,0.3965536438036656,0.6885309932132562,0.7207949963456769,0.7968060625096163,0.8220121759723352,0.8808333396911621,0.8947157099627067,0.0002461574624776804
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,8,0.4516564656049013,0.3644989642544069,0.6895744269092875,0.7320940507494885,0.7982580367475748,0.8293005000565938,0.8803204298019409,0.9030633456465127,0.00023107027905438094
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,9,0.42074614614248274,0.3861563149569691,0.7024856069435674,0.7257427769006736,0.8077492900192738,0.825848040373429,0.8880026578903198,0.8968068274898805,0.00021472822479741324
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,10,0.4106117397546768,0.37263526519139606,0.7095973352591196,0.7361587928113156,0.8124312053124108,0.8335192526020286,0.8928180456161499,0.902145606884058,0.00019738902366467964
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,11,0.3966243816539645,0.37041381757328473,0.7148016144831975,0.7386616625359669,0.8168255408604939,0.8360391247675614,0.8949229717254639,0.9010036855504133,0.00017932612521598008
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,12,0.38643165193498136,0.372583186496859,0.7200129870325327,0.7368812968477535,0.8203933857381344,0.8337593902136392,0.8975769281387329,0.901872828386832,0.000160824392150103
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,13,0.37417676374316217,0.34898068399532983,0.7262030051400264,0.7464352365277243,0.825243999560674,0.8408048881424797,0.9011994123458862,0.9078173982924309,0.00014217560784989694
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,14,0.3500179748982191,0.33853668125643244,0.7371857335170111,0.7547224159689918,0.8330484392742313,0.8475915009272845,0.9070497989654541,0.9096280802851138,0.0001236738747840199
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,15,0.34325266964733603,0.3489447601031566,0.7406308639794588,0.7510719127989046,0.8358053686718145,0.8449734558805752,0.9093987464904785,0.9079924597256426,0.00010561097633532034
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,16,0.327917761541903,0.3404368654541347,0.7481531046330927,0.7557389276903034,0.8413122350970905,0.8481689420875144,0.912755012512207,0.910780782284944,8.82717752025867e-05
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,17,0.32884214650839566,0.3442411746667779,0.7495353531092404,0.7523465774197512,0.8422351328035198,0.8455062001799615,0.9132327318191529,0.9101313438968383,7.192972094561895e-05
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,18,0.31675208285450934,0.331674279510111,0.7538921291629477,0.761431029309397,0.8454545463124912,0.852409331119003,0.9153088331222534,0.9123844202013983,5.684253752231956e-05
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,19,0.30629354864358904,0.3179231992234354,0.7606525136778753,0.7662924015579591,0.8499833770096299,0.8554804857802275,0.9190185785293579,0.9163475313048431,4.324815882792041e-05
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,20,0.30437092389911413,0.3175302905880887,0.7629880278060831,0.7657680586340344,0.8520221071938676,0.855010303898134,0.9196234464645385,0.9164729187454003,3.1360976335320314e-05
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,21,0.3019475907087326,0.32058132860971533,0.7636218827217817,0.7653338847240965,0.8524782436589398,0.8547730906574047,0.9202182292938232,0.9159734974736753,2.1368458013486254e-05
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,22,0.2965157516300678,0.3136663704678632,0.7648720640689135,0.7678132126296778,0.8533679979542889,0.8565971485658546,0.9210501432418823,0.9171644570170969,1.3428191845594673e-05
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,23,0.28788070268929006,0.3147974821968355,0.7691300356139742,0.7680585187126471,0.8563423487047352,0.8567902336373994,0.9232183218002319,0.9169109455053357,7.6654005723983e-06
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,24,0.2874336114153266,0.31565311356731085,0.7705602937688432,0.7683115564106743,0.8574169439574089,0.8570323384902331,0.9237130165100098,0.9170204660166865,4.170966854800051e-06
OxfordPet,deeplabv3plus_resnet34,3407,0.25,0.0003,25,0.2901381840929389,0.31703142584234045,0.7694995239377024,0.7679918625792445,0.8564126275479792,0.8566794700668631,0.9236116647720337,0.9172627822212551,2.9999999999999997e-06
