dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
OxfordPet,segnet_vgg16,42,0.5,0.0003,1,0.824321901205904,0.620257679534995,0.5224977612001801,0.6142313134843023,0.6434333595383611,0.7323480903526434,0.7734397272145526,0.8339726821235989,0.00029882903314519993
OxfordPet,segnet_vgg16,42,0.5,0.0003,2,0.6345403940411087,0.45976214002871857,0.6079794161376503,0.7037498696126798,0.7331627891177224,0.8112862274266672,0.8296596811424871,0.8806767671004586,0.0002953345994276017
OxfordPet,segnet_vgg16,42,0.5,0.0003,3,0.5422308515317692,0.5508934915929601,0.6469338385091311,0.6784545394821445,0.7660878660392563,0.7887010338225804,0.8549186753930512,0.8717661594999009,0.00028957180815440534
OxfordPet,segnet_vgg16,42,0.5,0.0003,4,0.5453416788429948,0.43432611313419067,0.6450878690858806,0.7081270045128419,0.7654673923616824,0.8122448808905008,0.8532266202180282,0.8890597854835399,0.00028163154198651373
OxfordPet,segnet_vgg16,42,0.5,0.0003,5,0.4995924667542025,0.42887126492417377,0.6667329724530996,0.7057911593844926,0.7820072258604732,0.810559327331718,0.8657084281400124,0.888678813326186,0.0002716390236646797
OxfordPet,segnet_vgg16,42,0.5,0.0003,6,0.48167906099965113,0.483346542586451,0.6741764320226433,0.699172401773757,0.7876437159552089,0.805920008731925,0.8705399673177588,0.8824975386909817,0.0002597518411720796
OxfordPet,segnet_vgg16,42,0.5,0.0003,7,0.4660729710359751,0.4088908369126527,0.682929990331085,0.7201277096778297,0.7944671448096475,0.8229208055901643,0.8754532500083402,0.8925831283348195,0.0002461574624776804
OxfordPet,segnet_vgg16,42,0.5,0.0003,8,0.4523322580393797,0.40568818259930267,0.6889891378257584,0.7252556877435692,0.7990826517035013,0.8266021923166543,0.8788416133904309,0.8947825500930565,0.00023107027905438094
OxfordPet,segnet_vgg16,42,0.5,0.0003,9,0.4399714899359283,0.39232782393262006,0.6957558661575889,0.7245774348288919,0.8040878157561361,0.8254335197273659,0.8822994350646594,0.8968909996143286,0.00021472822479741324
OxfordPet,segnet_vgg16,42,0.5,0.0003,10,0.42080346804968316,0.39208430526913074,0.7043997072778627,0.730726308580758,0.8102254014824732,0.8313249853498119,0.8884067298462672,0.896337426227072,0.00019738902366467964
