dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
OxfordPet,segnet_vgg16,2025,1.0,0.0003,1,0.695815027778193,0.46164246616156207,0.5823050472291489,0.6908754513459505,0.7060867235484856,0.7981848122129118,0.8114723951920219,0.8820115794306216,0.00029882903314519993
OxfordPet,segnet_vgg16,2025,1.0,0.0003,2,0.532004580457018,0.4086805288342462,0.6531581657767052,0.7213802792599813,0.7718354360225529,0.8236437079987086,0.856773927345039,0.8918281776317651,0.0002953345994276017
OxfordPet,segnet_vgg16,2025,1.0,0.0003,3,0.4991362253146142,0.40049182677614514,0.6680407193074802,0.7171499134549773,0.7836191026073557,0.8190345769919058,0.8649014123478291,0.893438698588938,0.00028957180815440534
OxfordPet,segnet_vgg16,2025,1.0,0.0003,4,0.47887272207263093,0.39083827362544293,0.6774058828812944,0.7258068911983194,0.7906482522655469,0.8263865824482869,0.8707630737968113,0.8971432119176008,0.00028163154198651373
OxfordPet,segnet_vgg16,2025,1.0,0.0003,5,0.45836026369599825,0.37786736522895703,0.6875095934786412,0.7368573370763071,0.7981884600151151,0.8349546879385977,0.8770695265775882,0.9007345835367838,0.0002716390236646797
OxfordPet,segnet_vgg16,2025,1.0,0.0003,6,0.4476930281575422,0.3626726848491724,0.6921801101223527,0.7407471641250276,0.8017766769073026,0.8375013027214198,0.8797832631176303,0.903458000957102,0.0002597518411720796
OxfordPet,segnet_vgg16,2025,1.0,0.0003,7,0.42572862330986105,0.360057602757993,0.704217297967917,0.7347493282550773,0.8102042196823702,0.8315571880570932,0.8867464539427194,0.9046039028444152,0.0002461574624776804
OxfordPet,segnet_vgg16,2025,1.0,0.0003,8,0.41143628820684386,0.35691907159660174,0.7098809265942307,0.7448244780158075,0.8146298129119245,0.8402730629639926,0.8901055969806931,0.9065160060274429,0.00023107027905438094
OxfordPet,segnet_vgg16,2025,1.0,0.0003,9,0.40480015496289506,0.344753034952758,0.7149014838857434,0.7483950005349327,0.8183676483221428,0.8432129235659246,0.8927272062123932,0.9072048353112262,0.00021472822479741324
OxfordPet,segnet_vgg16,2025,1.0,0.0003,10,0.3932864974652018,0.35634756217832153,0.7196368206732026,0.7408054770478879,0.8217414969242874,0.8373000115012201,0.895311977552331,0.9050020134967306,0.00019738902366467964
