dataset,model,seed,fraction,lr,epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_pixel_acc,val_pixel_acc,lr_current
OxfordPet,unet_resnet34,42,0.5,0.0003,1,0.7737221410555869,0.5394023950549139,0.5809987830865827,0.6932741658411166,0.700617178672959,0.8019140369938189,0.8112812634580624,0.8765137437461079,0.00029882903314519993
OxfordPet,unet_resnet34,42,0.5,0.0003,2,0.5593080887142916,0.459519624710083,0.661269548270026,0.7120270681553991,0.7776200620160584,0.8175701962576971,0.8608195026468787,0.8821674844493037,0.0002953345994276017
OxfordPet,unet_resnet34,42,0.5,0.0003,3,0.5153315702210302,0.40608734626700915,0.668764120796946,0.7267069602070222,0.7838563068189484,0.8277665650211095,0.8662681579589844,0.8949822412020918,0.00028957180815440534
OxfordPet,unet_resnet34,42,0.5,0.0003,4,0.46970641483431275,0.4040818901165672,0.6889486305461907,0.7246938759578023,0.7989269530797841,0.8259286028175539,0.8783310599949049,0.8951239102128623,0.00028163154198651373
OxfordPet,unet_resnet34,42,0.5,0.0003,5,0.44753441084986145,0.3734604038190151,0.6973635651186628,0.7387848965787656,0.805019277408256,0.8367698408555291,0.8832700622748144,0.900134045144786,0.0002716390236646797
OxfordPet,unet_resnet34,42,0.5,0.0003,6,0.4381053588405159,0.35567841603272204,0.6994969127834709,0.7470867275327877,0.8068939543658904,0.8426935263877904,0.8847298237107555,0.9052789107612942,0.0002597518411720796
OxfordPet,unet_resnet34,42,0.5,0.0003,7,0.41135001626814377,0.34574153263499774,0.712433398572061,0.7529539033986523,0.8159993632116183,0.8467911265898442,0.8924174812269507,0.9091163027113762,0.0002461574624776804
OxfordPet,unet_resnet34,42,0.5,0.0003,8,0.40241884111617665,0.35845427625421167,0.7172460093878316,0.7431904182629884,0.8199609019494699,0.8390780672934894,0.8947219137819657,0.9060218921606091,0.00023107027905438094
OxfordPet,unet_resnet34,42,0.5,0.0003,9,0.3889943402006019,0.36131300334481226,0.7237623972552163,0.743113555913962,0.8245458372137807,0.8385466628028575,0.8986904073205794,0.9070759648862092,0.00021472822479741324
OxfordPet,unet_resnet34,42,0.5,0.0003,10,0.3774404424873198,0.3319998387841211,0.7299781444156634,0.7599837787197409,0.8291598594213369,0.8515033624022479,0.9017548531478976,0.9124991375467052,0.00019738902366467964
OxfordPet,unet_resnet34,42,0.5,0.0003,11,0.3575153483182007,0.32740764600643213,0.7397726002934063,0.7637525380809526,0.8363092050542493,0.854761883832406,0.9065289823164852,0.9134965703107308,0.00017932612521598008
OxfordPet,unet_resnet34,42,0.5,0.0003,12,0.34523812556488914,0.32063769775888196,0.745922310690455,0.7657276832539104,0.8407405994940491,0.855751134059279,0.9105388333338388,0.9151179272195568,0.000160824392150103
OxfordPet,unet_resnet34,42,0.5,0.0003,13,0.3345383220577832,0.3119588071021481,0.7506465144285752,0.7686784466107685,0.8440564698067264,0.8574014049797242,0.9125207936541634,0.9184087670367697,0.00014217560784989694
OxfordPet,unet_resnet34,42,0.5,0.0003,14,0.32917366829347905,0.31427385085734766,0.7531484290186167,0.7693502656791522,0.8458110955437771,0.8584002440678326,0.913888800958669,0.9170338727425837,0.0001236738747840199
OxfordPet,unet_resnet34,42,0.5,0.0003,15,0.3094379793598045,0.31606870133807696,0.7636492206072957,0.7704532504945563,0.8532398704663077,0.8594550953971014,0.9192306802879949,0.9173748735068501,0.00010561097633532034
OxfordPet,unet_resnet34,42,0.5,0.0003,16,0.31170810786833675,0.2987487642229467,0.7629272565708394,0.7789936545102493,0.852682774481566,0.8653433993818678,0.9191053520818675,0.9209854844687642,8.82717752025867e-05
OxfordPet,unet_resnet34,42,0.5,0.0003,17,0.29974297179568626,0.29518602896427765,0.7681189769913688,0.7784686719161875,0.8562086517025965,0.8646385750332891,0.9220060028644822,0.9213713770327361,7.192972094561895e-05
OxfordPet,unet_resnet34,42,0.5,0.0003,18,0.2874518492207024,0.2965705062168232,0.7752063626704996,0.7782286617203035,0.8612726030882839,0.8643535896775801,0.9249305843566515,0.9218088232952616,5.684253752231956e-05
